L,omega,Re(sigma),Im(sigma),delta_1,Stability
2.5,1000.0,-82.13935990311147,17644.856032029336,3.44e-06,Stable
2.5,1141.4141414141413,-82.71729546111781,13785.993380639919,3.44e-06,Stable
2.5,1282.828282828283,-83.6084694333104,10538.478404425467,3.44e-06,Stable
2.5,1424.2424242424242,-84.94025609064697,7702.527420187938,3.44e-06,Stable
2.5,1565.6565656565658,-86.88621597593183,5146.4561119062455,3.44e-06,Stable
2.5,1707.0707070707072,-89.6853140039599,2777.4125451900277,3.44e-06,Stable
2.5,1848.4848484848485,-93.6709118241789,525.1565518689472,3.44e-06,Stable
2.5,1989.8989898989898,-99.31544829600067,-1667.777986426534,3.44e-06,Stable
2.5,2131.3131313131316,-107.30101077693003,-3852.761235166323,3.44e-06,Stable
2.5,2272.727272727273,-118.63399461405285,-6080.361288942821,3.44e-06,Stable
2.5,2414.1414141414143,-134.8375665807113,-8405.460951678173,3.44e-06,Stable
2.5,2555.5555555555557,-158.28720321660185,-10893.334604174848,3.44e-06,Stable
2.5,2696.969696969697,-192.82229792966382,-13628.206266030218,3.44e-06,Stable
2.5,2838.3838383838383,-244.92171063909868,-16726.896787356254,3.44e-06,Stable
2.5,2979.7979797979797,-326.11332551296033,-20362.747852669214,3.44e-06,Stable
2.5,3121.2121212121215,-458.3226136328957,-24811.3160238828,3.44e-06,Stable
2.5,3262.626262626263,-687.013975177091,-30546.16796265289,3.44e-06,Stable
2.5,3404.040404040404,-1118.1251282159024,-38464.186619941654,3.44e-06,Stable
2.5,3545.4545454545455,-2043.335440907247,-50504.48753044001,3.44e-06,Stable
2.5,3686.8686868686873,-4505.665926209269,-71786.53234853054,3.44e-06,Stable
2.5,3828.2828282828286,-14552.514633065233,-121475.86821511347,3.44e-06,Stable
2.5,3969.69696969697,-168117.47767042308,-350825.90397635,3.44e-06,Stable
2.5,4111.111111111111,-84727.31024382598,240997.61978816544,3.44e-06,Stable
2.5,4252.525252525253,-14816.696998980817,96535.394501993,3.44e-06,Stable
2.5,4393.939393939394,-6348.7933702099435,57360.2470501375,3.44e-06,Stable
2.5,4535.353535353535,-3712.135662063006,39082.93233896559,3.44e-06,Stable
2.5,4676.767676767677,-2543.1510505191563,28290.978913888852,3.44e-06,Stable
2.5,4818.181818181818,-1918.9192721181546,21005.637353213286,3.44e-06,Stable
2.5,4959.595959595959,-1546.0063161603991,15633.024113685957,3.44e-06,Stable
2.5,5101.010101010102,-1306.894788987646,11409.21670351446,3.44e-06,Stable
2.5,5242.424242424243,-1146.9777915808575,7920.553319919033,3.44e-06,Stable
2.5,5383.838383838384,-1038.2120975424332,4921.597375340733,3.44e-06,Stable
2.5,5525.252525252526,-965.2572992685318,2255.397596960429,3.44e-06,Stable
2.5,5666.666666666667,-919.5229932463366,-185.43862747471303,3.44e-06,Stable
2.5,5808.080808080808,-896.4083059248047,-2479.533046217982,3.44e-06,Stable
2.5,5949.49494949495,-893.9968462833617,-4688.826721745099,3.44e-06,Stable
2.5,6090.909090909091,-912.515885375832,-6866.333173896127,3.44e-06,Stable
2.5,6232.323232323232,-954.2942388449899,-9061.802310118379,3.44e-06,Stable
2.5,6373.737373737375,-1024.171303132154,-11326.652706186505,3.44e-06,Stable
2.5,6515.151515151516,-1130.4823075090387,-13719.2370430087,3.44e-06,Stable
2.5,6656.565656565657,-1286.9788708332483,-16311.621553223558,3.44e-06,Stable
2.5,6797.979797979799,-1516.4916605882656,-19199.648056220645,3.44e-06,Stable
2.5,6939.39393939394,-1858.1507605813101,-22519.469801137562,3.44e-06,Stable
2.5,7080.808080808081,-2382.5047512039637,-26477.00566020951,3.44e-06,Stable
2.5,7222.222222222223,-3225.889493158835,-31404.506147802444,3.44e-06,Stable
2.5,7363.636363636364,-4677.390650046124,-37878.20318760468,3.44e-06,Stable
2.5,7505.050505050505,-7432.323289691609,-46985.16905206154,3.44e-06,Stable
2.5,7646.464646464647,-13488.004427794243,-60975.25787636233,3.44e-06,Stable
2.5,7787.878787878788,-30276.239745978368,-84652.13621351891,3.44e-06,Stable
2.5,7929.29292929293,-95450.96890707721,-117328.8555000338,3.44e-06,Stable
2.5,8070.707070707072,-206125.14699149574,24617.104352056016,3.44e-06,Stable
2.5,8212.121212121212,-71747.42337107065,86843.86916186007,3.44e-06,Stable
2.5,8353.535353535353,-28408.17241792092,57459.90711123202,3.44e-06,Stable
2.5,8494.949494949495,-15152.802006773067,38645.47392492088,3.44e-06,Stable
2.5,8636.363636363636,-9643.141079752148,27000.636561095725,3.44e-06,Stable
2.5,8777.777777777777,-6857.723410462538,19113.704637987048,3.44e-06,Stable
2.5,8919.191919191919,-5262.586845347883,13339.609741165372,3.44e-06,Stable
2.5,9060.60606060606,-4270.810583055369,8845.393296966624,3.44e-06,Stable
2.5,9202.020202020203,-3620.0792678932953,5172.243978447801,3.44e-06,Stable
2.5,9343.434343434345,-3179.5307465988094,2047.3639210882993,3.44e-06,Stable
2.5,9484.848484848486,-2878.627331274735,-702.6785257494303,3.44e-06,Stable
2.5,9626.262626262627,-2677.447783167429,-3195.1288371656847,3.44e-06,Stable
2.5,9767.676767676769,-2553.0856840662755,-5514.210933969061,3.44e-06,Stable
2.5,9909.09090909091,-2493.0506947865056,-7724.47241278042,3.44e-06,Stable
2.5,10050.505050505051,-2492.0579174812046,-9879.095009625025,3.44e-06,Stable
2.5,10191.919191919193,-2550.692751589026,-12025.603667130536,3.44e-06,Stable
2.5,10333.333333333334,-2675.3621462945316,-14210.344652331634,3.44e-06,Stable
2.5,10474.747474747475,-2879.456105943995,-16482.63557689207,3.44e-06,Stable
2.5,10616.161616161617,-3186.0828095755514,-18899.339724745005,3.44e-06,Stable
2.5,10757.575757575758,-3633.3576217068626,-21530.679249564593,3.44e-06,Stable
2.5,10898.9898989899,-4284.39615543565,-24468.341316807288,3.44e-06,Stable
2.5,11040.40404040404,-5246.7122590100025,-27837.270740337975,3.44e-06,Stable
2.5,11181.818181818182,-6711.756182787957,-31812.47648323708,3.44e-06,Stable
2.5,11323.232323232323,-9040.551126698821,-36638.981140658914,3.44e-06,Stable
2.5,11464.646464646465,-12961.527391427462,-42632.867259142986,3.44e-06,Stable
2.5,11606.060606060608,-20048.856177110938,-50032.49770319082,3.44e-06,Stable
2.5,11747.47474747475,-33795.47557075027,-57997.65145854804,3.44e-06,Stable
2.5,11888.88888888889,-60192.69318647557,-59619.2505067809,3.44e-06,Stable
2.5,12030.303030303032,-92158.77611605413,-32360.375862859048,3.44e-06,Stable
2.5,12171.717171717173,-84387.0230337498,14948.497057261262,3.44e-06,Stable
2.5,12313.131313131315,-52946.363940750845,30586.54733350157,3.44e-06,Stable
2.5,12454.545454545456,-32209.97963631748,27103.75908949785,3.44e-06,Stable
2.5,12595.959595959597,-21144.40409315176,20432.357367587407,3.44e-06,Stable
2.5,12737.373737373739,-15029.475755259899,14368.68536547388,3.44e-06,Stable
2.5,12878.78787878788,-11407.11096842928,9346.934283551687,3.44e-06,Stable
2.5,13020.202020202021,-9124.772814940825,5195.3868173298215,3.44e-06,Stable
2.5,13161.616161616163,-7617.648998667792,1693.8361295008344,3.44e-06,Stable
2.5,13303.030303030304,-6590.526806416835,-1334.2252908001174,3.44e-06,Stable
2.5,13444.444444444445,-5879.866443269114,-4019.3489745476436,3.44e-06,Stable
2.5,13585.858585858587,-5390.980932799648,-6457.68163103805,3.44e-06,Stable
2.5,13727.272727272728,-5067.72344952573,-8721.655078387024,3.44e-06,Stable
2.5,13868.68686868687,-4877.14340842201,-10867.879023334124,3.44e-06,Stable
2.5,14010.10101010101,-4801.536957001748,-12942.726546199772,3.44e-06,Stable
2.5,14151.515151515152,-4834.478391751279,-14986.343358063441,3.44e-06,Stable
2.5,14292.929292929293,-4979.288073734372,-17035.649089189017,3.44e-06,Stable
2.5,14434.343434343435,-5249.334149230006,-19126.7038704604,3.44e-06,Stable
2.5,14575.757575757576,-5670.155464214171,-21296.626635814086,3.44e-06,Stable
2.5,14717.17171717172,-6283.921870506321,-23585.01048656021,3.44e-06,Stable
2.5,14858.58585858586,-7157.4225272082085,-26034.322427698018,3.44e-06,Stable
2.5,15000.0,-8395.7979765946,-28687.704165682342,3.44e-06,Stable
2.5,1000.0,-164.27865914059038,17644.86433231421,6.88e-06,Stable
2.5,1141.4141414141413,-165.43444609510126,13786.010408873475,6.88e-06,Stable
2.5,1282.828282828283,-167.2166198716229,10538.511035064552,6.88e-06,Stable
2.5,1424.2424242424242,-169.87985058188627,7702.586821482475,6.88e-06,Stable
2.5,1565.6565656565658,-173.77112032456944,5146.56012119558,6.88e-06,Stable
2.5,1707.0707070707072,-179.36811331709436,2777.5893976056955,6.88e-06,Stable
2.5,1848.4848484848485,-187.33711686812123,525.450837770376,6.88e-06,Stable
2.5,1989.8989898989898,-198.62222632530404,-1667.2956045936119,6.88e-06,Stable
2.5,2131.3131313131316,-214.58618866420332,-3851.9777886669863,6.88e-06,Stable
2.5,2272.727272727273,-237.23912893678826,-6079.093609328151,6.88e-06,Stable
2.5,2414.1414141414143,-269.62225567739483,-8403.406146824902,6.88e-06,Stable
2.5,2555.5555555555557,-316.4762994997859,-10889.97866268385,6.88e-06,Stable
2.5,2696.969696969697,-385.45870385838924,-13622.647435920244,6.88e-06,Stable
2.5,2838.3838383838383,-489.4800158999635,-16717.48474152156,6.88e-06,Stable
2.5,2979.7979797979797,-651.4840004813233,-20346.29444691603,6.88e-06,Stable
2.5,3121.2121212121215,-915.0300913771703,-24781.21474348565,6.88e-06,Stable
2.5,3262.626262626263,-1370.1908369182806,-30487.38966648464,6.88e-06,Stable
2.5,3404.040404040404,-2225.87301524886,-38337.835004229215,6.88e-06,Stable
2.5,3545.4545454545455,-4052.335176397196,-50188.9733572871,6.88e-06,Stable
2.5,3686.8686868686873,-8850.56330339759,-70767.27153777274,6.88e-06,Stable
2.5,3828.2828282828286,-27560.90621220293,-115898.86686724407,6.88e-06,Stable
2.5,3969.69696969697,-208916.0664920226,-224819.88862339812,6.88e-06,Stable
2.5,4111.111111111111,-131768.2707081754,183004.64001166364,6.88e-06,Stable
2.5,4252.525252525253,-28325.704174066763,91328.00310378763,6.88e-06,Stable
2.5,4393.939393939394,-12471.453937868748,55926.44022306319,6.88e-06,Stable
2.5,4535.353535353535,-7353.2017510899095,38471.76686665488,6.88e-06,Stable
2.5,4676.767676767677,-5055.893562510977,27965.069519647004,6.88e-06,Stable
2.5,4818.181818181818,-3822.100765665093,20807.217993324004,6.88e-06,Stable
2.5,4959.595959595959,-3082.7059714317397,15501.698146957546,6.88e-06,Stable
2.5,5101.010101010102,-2607.674022828587,11317.6567741398,6.88e-06,Stable
2.5,5242.424242424243,-2289.537756072491,7854.970812036968,6.88e-06,Stable
2.5,5383.838383838384,-2072.913768741441,4874.57886728183,6.88e-06,Stable
2.5,5525.252525252526,-1927.4262636273534,2222.9185323637566,6.88e-06,Stable
2.5,5666.666666666667,-1836.0209744915394,-205.35581451086546,6.88e-06,Stable
2.5,5808.080808080808,-1789.5239890158791,-2487.4162628504723,6.88e-06,Stable
2.5,5949.49494949495,-1784.0554572426695,-4683.950700791576,6.88e-06,Stable
2.5,6090.909090909091,-1819.9404124325981,-6846.634158495208,6.88e-06,Stable
2.5,6232.323232323232,-1901.5869175966416,-9023.510325472009,6.88e-06,Stable
2.5,6373.737373737375,-2038.2202491387043,-11263.537163331363,6.88e-06,Stable
2.5,6515.151515151516,-2245.679792285695,-13621.212608491784,6.88e-06,Stable
2.5,6656.565656565657,-2549.892825691716,-16162.178099111601,6.88e-06,Stable
2.5,6797.979797979799,-2993.380970989704,-18970.955389595998,6.88e-06,Stable
2.5,6939.39393939394,-3647.744481674644,-22162.562724179144,6.88e-06,Stable
2.5,7080.808080808081,-4638.807504900601,-25900.758166854986,6.88e-06,Stable
2.5,7222.222222222223,-6200.614283371484,-30426.730878873284,6.88e-06,Stable
2.5,7363.636363636364,-8800.591164600646,-36099.766027635924,6.88e-06,Stable
2.5,7505.050505050505,-13454.97442110057,-43422.87913690919,6.88e-06,Stable
2.5,7646.464646464647,-22578.30424039669,-52824.46035381955,6.88e-06,Stable
2.5,7787.878787878788,-42077.37778105953,-62646.02778076132,6.88e-06,Stable
2.5,7929.29292929293,-80702.53306866135,-57723.52915383731,6.88e-06,Stable
2.5,8070.707070707072,-106731.99170663832,-5200.616026856118,6.88e-06,Stable
2.5,8212.121212121212,-73460.25018316128,36083.20868466723,6.88e-06,Stable
2.5,8353.535353535353,-41883.04856537911,37443.57307002353,6.88e-06,Stable
2.5,8494.949494949495,-25735.965350652255,29771.197392915365,6.88e-06,Stable
2.5,8636.363636363636,-17462.876617354832,22399.403771560545,6.88e-06,Stable
2.5,8777.777777777777,-12841.967565094112,16430.674785629144,6.88e-06,Stable
2.5,8919.191919191919,-10047.955615230201,11639.409803343868,6.88e-06,Stable
2.5,9060.60606060606,-8253.169213560062,7704.260706069996,6.88e-06,Stable
2.5,9202.020202020203,-7050.456583948104,4377.608933674555,6.88e-06,Stable
2.5,9343.434343434345,-6224.233967276232,1484.344901050732,6.88e-06,Stable
2.5,9484.848484848486,-5653.593444668341,-1099.1816244403653,6.88e-06,Stable
2.5,9626.262626262627,-5268.1353909205145,-3462.4549157120528,6.88e-06,Stable
2.5,9767.676767676769,-5026.50951586063,-5672.62971843685,6.88e-06,Stable
2.5,9909.09090909091,-4905.530905311019,-7782.385180475155,6.88e-06,Stable
2.5,10050.505050505051,-4894.647971077324,-9835.207091810349,6.88e-06,Stable
2.5,10191.919191919193,-4993.425078601149,-11869.056575569784,6.88e-06,Stable
2.5,10333.333333333334,-5211.028020084287,-13919.009192591224,6.88e-06,Stable
2.5,10474.747474747475,-5567.408021371119,-16019.164543644525,6.88e-06,Stable
2.5,10616.161616161617,-6096.372430161408,-18203.853397518582,6.88e-06,Stable
2.5,10757.575757575758,-6851.214558552883,-20507.772282349542,6.88e-06,Stable
2.5,10898.9898989899,-7914.1776328163205,-22963.891439565698,6.88e-06,Stable
2.5,11040.40404040404,-9411.760331109897,-25596.227365250146,6.88e-06,Stable
2.5,11181.818181818182,-11538.267331812376,-28400.523033687576,6.88e-06,Stable
2.5,11323.232323232323,-14587.612670124778,-31296.794860879527,6.88e-06,Stable
2.5,11464.646464646465,-18978.47127074057,-34019.816749829035,6.88e-06,Stable
2.5,11606.060606060608,-25199.307691252376,-35893.825696368585,6.88e-06,Stable
2.5,11747.47474747475,-33438.26616729652,-35501.82566906285,6.88e-06,Stable
2.5,11888.88888888889,-42519.515739342794,-30740.299275424597,6.88e-06,Stable
2.5,12030.303030303032,-48814.921962836364,-20672.071029680475,6.88e-06,Stable
2.5,12171.717171717173,-48531.46198853506,-8488.545252137006,6.88e-06,Stable
2.5,12313.131313131315,-42465.82055749717,629.5105260848486,6.88e-06,Stable
2.5,12454.545454545456,-34607.69574771178,4892.757648789488,6.88e-06,Stable
2.5,12595.959595959597,-27647.677743964472,5630.419215978287,6.88e-06,Stable
2.5,12737.373737373739,-22289.08285345222,4532.367018726643,6.88e-06,Stable
2.5,12878.78787878788,-18358.861443442354,2653.717861310557,6.88e-06,Stable
2.5,13020.202020202021,-15508.551860574704,516.4713773182284,6.88e-06,Stable
2.5,13161.616161616163,-13437.634119132525,-1649.3742945142167,6.88e-06,Stable
2.5,13303.030303030304,-11928.286787383904,-3753.4210067468393,6.88e-06,Stable
2.5,13444.444444444445,-10831.373220510424,-5768.3538205429,6.88e-06,Stable
2.5,13585.858585858587,-10046.950377525018,-7694.216635739156,6.88e-06,Stable
2.5,13727.272727272728,-9509.038950825792,-9542.119099830677,6.88e-06,Stable
2.5,13868.68686868687,-9175.295714531736,-11326.849972363483,6.88e-06,Stable
2.5,14010.10101010101,-9020.423482400422,-13063.490792359798,6.88e-06,Stable
2.5,14151.515151515152,-9032.170085039003,-14765.736503316235,6.88e-06,Stable
2.5,14292.929292929293,-9209.094533690011,-16444.791753507896,6.88e-06,Stable
2.5,14434.343434343435,-9559.5534568471,-18108.195139334966,6.88e-06,Stable
2.5,14575.757575757576,-10101.513640350628,-19758.075466086975,6.88e-06,Stable
2.5,14717.17171717172,-10862.801439915305,-21388.315298304376,6.88e-06,Stable
2.5,14858.58585858586,-11881.197078289508,-22979.96820098616,6.88e-06,Stable
2.5,15000.0,-13203.240472098507,-24494.154350295103,6.88e-06,Stable
2.5,1000.0,-246.41783706301337,17644.878164644313,1.032e-05,Stable
2.5,1141.4141414141413,-248.1513071272275,13786.03878515645,1.032e-05,Stable
2.5,1282.828282828283,-250.82413247250736,10538.565409066365,1.032e-05,Stable
2.5,1424.2424242424242,-254.81812228521633,7702.685799070739,1.032e-05,Stable
2.5,1565.6565656565658,-260.6534024634903,5146.733414853596,1.032e-05,Stable
2.5,1707.0707070707072,-269.04588579698685,2777.8840323756226,1.032e-05,Stable
2.5,1848.4848484848485,-280.99391439043944,525.9410631586088,1.032e-05,Stable
2.5,1989.8989898989898,-297.9116778792729,-1666.4921547876265,1.032e-05,Stable
2.5,2131.3131313131316,-321.83973324646087,-3850.673112131263,1.032e-05,Stable
2.5,2272.727272727273,-355.7866178350834,-6076.983002381595,1.032e-05,Stable
2.5,2414.1414141414143,-404.3013657961883,-8399.986012229554,1.032e-05,Stable
2.5,2555.5555555555557,-474.46960329762993,-10884.394993936585,1.032e-05,Stable
2.5,2696.969696969697,-577.7243700759399,-13613.4034450629,1.032e-05,Stable
2.5,2838.3838383838383,-733.3142291428046,-16701.84473988464,1.032e-05,Stable
2.5,2979.7979797979797,-975.3769538330421,-20318.983614186734,1.032e-05,Stable
2.5,3121.2121212121215,-1368.530527877261,-24731.333607464065,1.032e-05,Stable
2.5,3262.626262626263,-2045.774819822816,-30390.254396110904,1.032e-05,Stable
2.5,3404.040404040404,-3313.212274689712,-38130.051163283206,1.032e-05,Stable
2.5,3545.4545454545455,-5994.647672036389,-49675.25818351028,1.032e-05,Stable
2.5,3686.8686868686873,-12892.878496758516,-69148.57880281856,1.032e-05,Stable
2.5,3828.2828282828286,-37985.94398707868,-107819.40531295782,1.032e-05,Stable
2.5,3969.69696969697,-192197.42021390772,-144867.39566179784,1.032e-05,Stable
2.5,4111.111111111111,-144239.14704205332,128209.63307663547,1.032e-05,Stable
2.5,4252.525252525253,-39580.164624388235,83607.2966227455,1.032e-05,Stable
2.5,4393.939393939394,-18168.37566033752,53649.091501215415,1.032e-05,Stable
2.5,4535.353535353535,-10856.729155252084,37479.671893329665,1.032e-05,Stable
2.5,4676.767676767677,-7509.0719184445725,27430.94518873078,1.032e-05,Stable
2.5,4818.181818181818,-5694.257599418253,20480.386948573774,1.032e-05,Stable
2.5,4959.595959595959,-4600.989639229191,15284.724230473212,1.032e-05,Stable
2.5,5101.010101010102,-3896.323683586668,11166.0727823536,1.032e-05,Stable
2.5,5242.424242424243,-3423.323914241195,7746.217202950081,1.032e-05,Stable
2.5,5383.838383838384,-3100.641053231283,4796.478172003256,1.032e-05,Stable
2.5,5525.252525252526,-2883.4633061222885,2168.833540849195,1.032e-05,Stable
2.5,5666.666666666667,-2746.523168096375,-238.71132107046014,1.032e-05,Stable
2.5,5808.080808080808,-2676.131700566338,-2500.96078048294,1.032e-05,Stable
2.5,5949.49494949495,-2666.358889143526,-4676.570311073904,1.032e-05,Stable
2.5,6090.909090909091,-2717.3841987341207,-6815.068529665416,1.032e-05,Stable
2.5,6232.323232323232,-2835.22755467297,-8961.800082275533,1.032e-05,Stable
2.5,6373.737373737375,-3032.6587630809304,-11161.888522281997,1.032e-05,Stable
2.5,6515.151515151516,-3331.501002290204,-13463.925993791068,1.032e-05,Stable
2.5,6656.565656565657,-3767.028504968995,-15923.910122239648,1.032e-05,Stable
2.5,6797.979797979799,-4395.96136381859,-18609.810450144745,1.032e-05,Stable
2.5,6939.39393939394,-5311.124163730848,-21606.81035178024,1.032e-05,Stable
2.5,7080.808080808081,-6669.089446526182,-25022.020360769537,1.032e-05,Stable
2.5,7222.222222222223,-8744.028955600468,-28982.859891004206,1.032e-05,Stable
2.5,7363.636363636364,-12034.89632309574,-33606.68329903025,1.032e-05,Stable
2.5,7505.050505050505,-17473.038983541283,-38859.46739938184,1.032e-05,Stable
2.5,7646.464646464647,-26740.00465648867,-44017.78961037639,1.032e-05,Stable
2.5,7787.878787878788,-42108.23851730704,-45961.42605363604,1.032e-05,Stable
2.5,7929.29292929293,-62267.640002016386,-36517.17241939913,1.032e-05,Stable
2.5,8070.707070707072,-72363.32668800917,-10893.078688068474,1.032e-05,Stable
2.5,8212.121212121212,-61257.83521104688,12458.221306709354,1.032e-05,Stable
2.5,8353.535353535353,-43920.61700857384,20569.079080140542,1.032e-05,Stable
2.5,8494.949494949495,-30954.938596177686,19883.930989854904,1.032e-05,Stable
2.5,8636.363636363636,-22677.48406796898,16496.838708481344,1.032e-05,Stable
2.5,8777.777777777777,-17439.037019134743,12707.834970218464,1.032e-05,Stable
2.5,8919.191919191919,-14025.995825702099,9165.761687832251,1.032e-05,Stable
2.5,9060.60606060606,-11727.251487597865,5992.330983264403,1.032e-05,Stable
2.5,9202.020202020203,-10137.221457344469,3160.017793644005,1.032e-05,Stable
2.5,9343.434343434345,-9020.085605028098,607.8350482518945,1.032e-05,Stable
2.5,9484.848484848486,-8234.955332266298,-1725.1134435890026,1.032e-05,Stable
2.5,9626.262626262627,-7695.956233099359,-3891.427787774376,1.032e-05,Stable
2.5,9767.676767676769,-7350.705194628188,-5934.794639820784,1.032e-05,Stable
2.5,9909.09090909091,-7168.523070113409,-7891.347441203394,1.032e-05,Stable
2.5,10050.505050505051,-7133.996786028519,-9791.232931748822,1.032e-05,Stable
2.5,10191.919191919193,-7243.668205892306,-11659.825546141275,1.032e-05,Stable
2.5,10333.333333333334,-7504.72763082422,-13518.371729677492,1.032e-05,Stable
2.5,10474.747474747475,-7935.163696326849,-15383.861120165235,1.032e-05,Stable
2.5,10616.161616161617,-8565.112372924912,-17267.764898518028,1.032e-05,Stable
2.5,10757.575757575758,-9439.227894316853,-19172.962573410492,1.032e-05,Stable
2.5,10898.9898989899,-10619.688398874729,-21087.64692734825,1.032e-05,Stable
2.5,11040.40404040404,-12188.644294376789,-22974.22248109419,1.032e-05,Stable
2.5,11181.818181818182,-14246.82037984076,-24750.42078289875,1.032e-05,Stable
2.5,11323.232323232323,-16900.38919592101,-26260.2643368588,1.032e-05,Stable
2.5,11464.646464646465,-20220.28737469314,-27238.12175248204,1.032e-05,Stable
2.5,11606.060606060608,-24151.35113529224,-27288.8539759088,1.032e-05,Stable
2.5,11747.47474747475,-28366.647425246665,-25948.292553402913,1.032e-05,Stable
2.5,11888.88888888889,-32153.339409447242,-22914.70355604283,1.032e-05,Stable
2.5,12030.303030303032,-34556.06475361536,-18415.661322784577,1.032e-05,Stable
2.5,12171.717171717173,-34898.02788724584,-13351.983482593634,1.032e-05,Stable
2.5,12313.131313131315,-33263.450417374384,-8867.339732581588,1.032e-05,Stable
2.5,12454.545454545456,-30376.39478870237,-5698.337551390153,1.032e-05,Stable
2.5,12595.959595959597,-27064.452488033425,-3962.685618887879,1.032e-05,Stable
2.5,12737.373737373739,-23893.52119937184,-3396.0098809613573,1.032e-05,Stable
2.5,12878.78787878788,-21128.2811113165,-3641.790731883666,1.032e-05,Stable
2.5,13020.202020202021,-18837.06814010495,-4399.666728348388,1.032e-05,Stable
2.5,13161.616161616163,-16994.42280595508,-5458.935695965404,1.032e-05,Stable
2.5,13303.030303030304,-15542.662258706689,-6684.72225439132,1.032e-05,Stable
2.5,13444.444444444445,-14420.984733453528,-7994.976805840663,1.032e-05,Stable
2.5,13585.858585858587,-13576.665231334728,-9341.31404054055,1.032e-05,Stable
2.5,13727.272727272728,-12968.001179008541,-10695.717717421932,1.032e-05,Stable
2.5,13868.68686868687,-12563.978437366517,-12041.926138071469,1.032e-05,Stable
2.5,14010.10101010101,-12342.890342849421,-13369.93179592713,1.032e-05,Stable
2.5,14151.515151515152,-12290.792335034013,-14672.373355454363,1.032e-05,Stable
2.5,14292.929292929293,-12400.057573272526,-15941.994535889358,1.032e-05,Stable
2.5,14434.343434343435,-12668.019703690126,-17169.644496785673,1.032e-05,Stable
2.5,14575.757575757576,-13095.548755033107,-18342.50692267168,1.032e-05,Stable
2.5,14717.17171717172,-13685.315656176079,-19442.41651524212,1.032e-05,Stable
2.5,14858.58585858586,-14439.432704885296,-20444.30469334356,1.032e-05,Stable
2.5,15000.0,-15356.132548788355,-21315.06123640352,1.032e-05,Stable
2.5,1000.0,-328.5568330533654,17644.897526803186,1.376e-05,Stable
2.5,1141.4141414141413,-330.8677338875579,13786.078503331817,1.376e-05,Stable
2.5,1282.828282828283,-334.4306886985163,10538.641510843774,1.376e-05,Stable
2.5,1424.2424242424242,-339.75441083341065,7702.824316122853,1.376e-05,Stable
2.5,1565.6565656565658,-347.53175389826356,5146.975910213223,1.376e-05,Stable
2.5,1707.0707070707072,-358.7161243925994,2778.296270806141,1.376e-05,Stable
2.5,1848.4848484848485,-374.636615711122,526.6268518706215,1.376e-05,Stable
2.5,1989.8989898989898,-397.1751748173486,-1665.3684155518965,1.376e-05,Stable
2.5,2131.3131313131316,-429.04590891651264,-3848.84880354843,1.376e-05,Stable
2.5,2272.727272727273,-474.2478260795252,-6074.032747710306,1.376e-05,Stable
2.5,2414.1414141414143,-538.8225461887979,-8395.207334290704,1.376e-05,Stable
2.5,2555.5555555555557,-632.1702680078481,-10876.597883729857,1.376e-05,Stable
2.5,2696.969696969697,-769.4365251036335,-13600.505198925875,1.376e-05,Stable
2.5,2838.3838383838383,-976.0690584409139,-16680.046343930782,1.376e-05,Stable
2.5,2979.7979797979797,-1297.0721110778495,-20280.98083010829,1.376e-05,Stable
2.5,3121.2121212121215,-1817.2777791286044,-24662.097618973363,1.376e-05,Stable
2.5,3262.626262626263,-2710.1692542689166,-30255.977495589053,1.376e-05,Stable
2.5,3404.040404040404,-4370.779282834871,-37844.892889746894,1.376e-05,Stable
2.5,3545.4545454545455,-7841.653635079987,-48980.47119113364,1.376e-05,Stable
2.5,3686.8686868686873,-16524.200056736972,-67036.28541540973,1.376e-05,Stable
2.5,3828.2828282828286,-45487.09307782201,-98499.08046287633,1.376e-05,Stable
2.5,3969.69696969697,-166344.1760048084,-100369.44344562481,1.376e-05,Stable
2.5,4111.111111111111,-139584.55402959706,87637.32733130924,1.376e-05,Stable
2.5,4252.525252525253,-48164.20625837963,74430.89010289189,1.376e-05,Stable
2.5,4393.939393939394,-23286.72697665142,50676.75047168701,1.376e-05,Stable
2.5,4535.353535353535,-14164.837431498398,36143.770040017655,1.376e-05,Stable
2.5,4676.767676767677,-9875.92917147524,26701.609991945807,1.376e-05,Stable
2.5,4818.181818181818,-7520.977709704162,20030.770970199897,1.376e-05,Stable
2.5,4959.595959595959,-6092.133908360187,14984.892107116813,1.376e-05,Stable
2.5,5101.010101010102,-5167.029303879298,10955.96213818494,1.376e-05,Stable
2.5,5242.424242424243,-4544.1021359372335,7595.107848828101,1.376e-05,Stable
2.5,5383.838383838384,-4118.02148629195,4687.68876360704,1.376e-05,Stable
2.5,5525.252525252526,-3830.412609893969,2093.218145597836,1.376e-05,Stable
2.5,5666.666666666667,-3648.1645245827945,-285.731440195972,1.376e-05,Stable
2.5,5808.080808080808,-3553.165670389084,-2520.747744752682,1.376e-05,Stable
2.5,5949.49494949495,-3537.3232224700955,-4667.753369524162,1.376e-05,Stable
2.5,6090.909090909091,-3600.3426565444847,-6773.4384504467525,1.376e-05,Stable
2.5,6232.323232323232,-3749.2279298123894,-8879.650225973357,1.376e-05,Stable
2.5,6373.737373737375,-3999.180683892523,-11026.65423180717,1.376e-05,Stable
2.5,6515.151515151516,-4376.043650294661,-13255.748145403059,1.376e-05,Stable
2.5,6656.565656565657,-4920.898468188324,-15611.377041797117,1.376e-05,Stable
